jam,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,26.77,±1.53,77.25,±6.8,2.1,±3.64,28.83,±2.56,50.0,25.0,25.0,0
13:00,26.55,±0.86,81.5,±0.5,0.95,±1.48,28.96,±1.94,25.0,50.0,25.0,0
16:00,23.38,±0.68,91.5,±3.2,0.75,±1.24,22.23,±1.55,25.0,50.0,25.0,0
19:00,22.23,±0.39,96.25,±0.83,0.35,±0.61,19.46,±0.75,75.0,25.0,0,0
22:00,21.9,±0.3,96.0,±1.22,0.45,±0.78,18.96,±0.61,75.0,25.0,0,0
