jam,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,28.75,±2.17,69.25,±9.81,0.0,±0.0,31.72,±3.52,100.0,0,0,0
13:00,28.88,±2.31,69.25,±10.64,0.03,±0.04,31.91,±3.57,75.0,25.0,0,0
16:00,27.93,±0.26,77.5,±0.87,0.22,±0.25,31.55,±0.53,50.0,50.0,0,0
19:00,25.9,±1.33,86.5,±5.02,0.07,±0.13,27.58,±2.82,75.0,25.0,0,0
22:00,25.35,±1.27,88.5,±4.33,0.0,±0.0,26.39,±2.81,100.0,0,0,0
