jam,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,29.55,±0.26,69.5,±3.57,0.03,±0.04,33.87,±0.72,50.0,50.0,0,0
13:00,29.35,±0.35,72.5,±1.5,0.38,±0.54,34.06,±0.99,25.0,75.0,0,0
16:00,27.12,±0.9,82.0,±2.24,0.62,±0.92,30.23,±1.92,25.0,75.0,0,0
19:00,25.88,±1.09,87.0,±4.06,0.12,±0.22,27.58,±2.39,75.0,25.0,0,0
22:00,25.07,±1.23,88.75,±4.38,0.33,±0.56,25.77,±2.77,75.0,25.0,0,0
