jam,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,29.75,±1.09,68.5,±4.97,0.2,±0.35,34.01,±1.61,75.0,25.0,0,0
13:00,30.1,±1.24,70.25,±2.95,0.33,±0.51,35.42,±2.8,50.0,50.0,0,0
16:00,28.3,±0.97,75.75,±3.96,0.38,±0.65,32.09,±1.71,75.0,25.0,0,0
19:00,25.95,±1.15,86.5,±4.39,0.58,±0.88,27.71,±2.52,50.0,50.0,0,0
22:00,24.9,±0.75,87.0,±1.87,0.4,±0.42,25.58,±1.62,50.0,50.0,0,0
