tanggal,jam,suhu_C,cuaca,RH_%
19-04-2026,10:00,26,Cerah,66
19-04-2026,13:00,24,Cerah,75
19-04-2026,16:00,23,Cerah,84
19-04-2026,19:00,20,Cerah,95
19-04-2026,22:00,20,Cerah,97
