jam,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,26.27,±1.08,69.5,±4.72,1.18,±1.47,27.61,±1.31,25.0,75.0,0,0
13:00,25.27,±1.41,75.5,±6.38,1.45,±1.33,26.18,±2.14,0,100.0,0,0
16:00,24.05,±2.1,80.75,±9.42,0.47,±0.82,23.95,±3.77,50.0,50.0,0,0
19:00,22.55,±2.27,87.75,±10.38,0.5,±0.81,21.02,±4.05,25.0,75.0,0,0
22:00,20.32,±0.58,95.75,±0.43,0.2,±0.35,17.02,±0.61,75.0,25.0,0,0
