tanggal,jam,suhu_C,cuaca,RH_%
18-04-2026,10:00,31,Cerah,65
18-04-2026,13:00,29,Berawan,78
18-04-2026,16:00,26,Berawan,84
18-04-2026,19:00,25,Cerah,94
18-04-2026,22:00,24,Berawan,92
